"date","close","volume","open","high","low"
"2012/03/07","124.1400","170333.0000","123.5800","124.3200","123.4660"
"2012/03/06","123.1600","411053.0000","123.8000","123.8600","122.9000"
"2012/03/05","125.1200","667880.0000","125.4200","125.4800","124.6600"
"2012/03/02","125.6600","142800.0000","125.9600","126.0560","125.3530"
"2012/03/01","126.0000","193436.0000","125.6400","126.2200","125.2000"
"2012/02/29","125.1800","229553.0000","126.0400","126.3952","125.1100"
"2012/02/28","125.8600","141882.0000","125.5400","125.9086","125.2800"
"2012/02/27","125.4200","267791.0000","124.4400","125.8000","124.2200"
"2012/02/24","125.2000","162934.0000","125.2800","125.5000","125.0000"
"2012/02/23","125.0200","328046.0000","124.3800","125.0800","123.9600"
"2012/02/22","124.4200","190898.0000","124.6000","124.8800","124.2400"
"2012/02/21","124.8400","758173.0000","125.1000","125.3600","124.4600"
"2012/02/17","124.7600","604164.0000","124.9000","124.9200","124.3200"
"2012/02/16","124.4600","438530.0000","123.1200","124.5400","122.9282"
"2012/02/15","123.1200","187554.0000","124.1000","124.2400","122.8800"
"2012/02/14","123.6680","203367.0000","123.5000","123.7200","122.8514"
"2012/02/13","123.8400","230379.0000","123.7800","123.9800","123.3000"
"2012/02/10","122.9000","123471.0000","122.6800","123.0000","122.4400"
"2012/02/09","123.7400","258957.0000","123.9000","124.0200","123.1400"
"2012/02/08","123.6000","259713.0000","123.4000","123.6920","122.8800"
"2012/02/07","123.3400","164227.0000","122.7600","123.5200","122.2800"
"2012/02/06","122.9600","150170.0000","122.5800","123.0200","122.4000"
"2012/02/03","123.1400","223127.0000","122.6000","123.1400","122.3800"
"2012/02/02","121.4200","143026.0000","121.4400","121.6600","120.9600"
"2012/02/01","121.1800","99003.0000","121.0000","121.7400","120.8600"
"2012/01/31","120.0400","157435.0000","120.8000","120.9200","119.6000"
"2012/01/30","120.1000","329631.0000","119.4000","120.2000","118.9800"
"2012/01/27","120.5000","104081.0000","120.0400","120.7800","120.0000"
"2012/01/26","120.6600","137557.0000","121.8600","122.0000","120.1600"
"2012/01/25","121.2800","254039.0000","120.0800","121.5380","119.6400"
"2012/01/24","120.2200","203063.0000","119.6800","120.3000","119.4800"
"2012/01/23","120.4000","130934.0000","120.2800","120.9800","119.8600"
"2012/01/20","120.2800","345164.0000","120.0800","120.3400","119.7800"
"2012/01/19","120.2800","224499.0000","120.0000","120.3400","119.7200"
"2012/01/18","119.6400","172101.0000","118.3200","119.6400","118.1000"
"2012/01/17","118.3200","324250.0000","118.9800","119.1800","118.0500"
"2012/01/13","118.0000","147167.0000","117.7000","118.0000","116.8220"
"2012/01/12","118.5000","202229.0000","118.5200","118.6400","117.5800"
"2012/01/11","118.2400","203762.0000","117.7800","118.3400","117.5600"
"2012/01/10","118.1200","261181.0000","118.3600","118.5334","117.9724"
"2012/01/09","117.1200","176863.0000","117.1400","117.2400","116.5400"
"2012/01/06","116.9400","166868.0000","117.3000","117.3000","116.4720"
"2012/01/05","117.1800","253487.0000","116.2800","117.2948","115.6800"
"2012/01/04","116.8000","448406.0000","116.4400","116.9200","115.9600"
"2012/01/03","116.6000","163204.0000","116.9000","117.4552","116.6000"
"2011/12/30","114.9000","254280.0000","115.3200","115.5590","114.9000"
"2011/12/29","115.3400","259054.0000","114.6200","118.1600","114.5200"
"2011/12/28","114.3000","180256.0000","115.7200","115.7200","114.1000"
"2011/12/27","115.7200","388633.0000","115.3800","118.0000","115.3600"
"2011/12/23","115.6000","256440.0000","114.9600","115.6800","114.7600"
"2011/12/22","115.3800","1439794.0000","114.7000","115.3800","114.5000"
"2011/12/21","114.3000","182637.0000","113.9000","114.3800","113.0160"
"2011/12/20","113.9600","143817.0000","112.3400","114.1680","112.3400"
"2011/12/19","110.6600","454104.0000","112.2800","112.4940","110.4400"
"2011/12/16","111.8000","1479979.0000","112.5200","113.1000","111.6400"
"2011/12/15","111.7200","82547.0000","112.5200","112.6200","111.5600"
"2011/12/14","111.3000","945123.0000","112.1000","112.4980","111.1000"
"2011/12/13","112.5600","162800.0000","114.2200","114.7600","112.0000"
"2011/12/12","113.6400","127153.0000","114.2800","114.2800","112.6600"
"2011/12/09","115.3000","882165.0000","113.8800","115.5400","113.8000"
"2011/12/08","113.3800","93449.0000","115.0200","115.2600","113.0800"
"2011/12/07","115.8800","86552.0000","115.1000","116.3200","114.3532"
"2011/12/06","115.5000","67568.0000","115.3800","116.2000","115.0200"
"2011/12/05","115.4000","194487.0000","116.0000","116.2800","114.7200"
"2011/12/02","114.1600","127280.0000","115.4000","115.6704","114.1400"
"2011/12/01","114.2200","107257.0000","114.1400","114.8380","113.8200"
"2011/11/30","114.3000","424441.0000","112.9000","114.4800","112.6200"
"2011/11/29","109.8000","134936.0000","109.7600","110.5000","109.4000"
"2011/11/28","109.4800","155545.0000","109.2600","109.8200","108.6400"
"2011/11/25","106.3000","75647.0000","106.4000","107.5800","106.3000"
"2011/11/23","106.6200","249069.0000","108.0000","108.0200","106.6000"
"2011/11/22","108.9200","263286.0000","109.2000","109.8000","108.3800"
"2011/11/21","109.5000","236652.0000","109.9000","110.0600","108.4800"
"2011/11/18","111.5000","188113.0000","112.0200","112.1800","111.1000"
"2011/11/17","111.6600","989912.0000","113.2600","113.5400","110.9120"
"2011/11/16","113.4800","91900.0000","114.2000","115.4600","113.3200"
"2011/11/15","115.3400","402176.0000","114.5200","115.9120","114.1200"
"2011/11/14","114.7400","359509.0000","115.4200","115.4704","114.2200"
"2011/11/11","115.8640","132647.0000","115.0400","116.1000","115.0200"
"2011/11/10","113.6400","121791.0000","114.1000","114.2000","112.6200"
"2011/11/09","112.6200","246779.0000","114.2400","114.7190","112.4000"
"2011/11/08","116.8400","135694.0000","116.1000","117.0200","115.0200"
"2011/11/07","115.4600","79451.0000","114.6400","115.5200","113.6400"
"2011/11/04","114.7960","147436.0000","114.4600","114.9000","113.4200"
"2011/11/03","115.4600","173641.0000","114.6400","115.6860","113.0400"
"2011/11/02","113.3600","122643.0000","113.2680","113.7600","112.3200"
"2011/11/01","111.6000","307130.0000","111.5400","112.9000","111.1600"
"2011/10/31","114.6400","153439.0000","116.2600","116.3460","114.6400"
"2011/10/28","117.6600","693634.0000","117.0400","117.7800","116.8800"
"2011/10/27","117.5400","310176.0000","116.7800","118.3000","115.8000"
"2011/10/26","113.6200","1922198.0000","113.7600","114.0600","111.8000"
"2011/10/25","112.5400","102363.0000","114.1800","114.1800","112.2400"
"2011/10/24","114.7600","138519.0000","113.5600","114.9600","113.4400"
"2011/10/21","113.3200","87190.0000","112.5000","113.4200","112.2400"
"2011/10/20","111.1800","68176.0000","111.0000","111.4800","109.5990"
"2011/10/19","110.6800","107876.0000","111.8400","112.4720","110.4000"
"2011/10/18","112.0800","259078.0000","109.8400","112.8400","109.0000"
"2011/10/17","109.8800","309606.0000","111.4800","111.6000","109.6400"
"2011/10/14","111.9800","423442.0000","111.5000","112.0600","110.9140"
"2011/10/13","110.1600","363982.0000","109.7000","110.4400","108.9000"
"2011/10/12","110.3200","509135.0000","110.2800","111.6000","110.0000"
"2011/10/11","109.3200","663173.0000","108.7600","109.7200","108.6000"
"2011/10/10","109.3600","168170.0000","107.7400","109.3600","107.6600"
"2011/10/07","105.7800","627102.0000","107.1600","107.1680","105.1800"
"2011/10/06","106.6000","583755.0000","104.5200","106.6200","103.7630"
"2011/10/05","104.5800","280992.0000","102.8800","104.8200","102.0000"
"2011/10/04","102.5400","285615.0000","99.1400","102.8200","98.2400"
"2011/10/03","100.3400","333053.0000","102.8200","104.0800","100.3400"
"2011/09/30","103.5200","183276.0000","104.5600","105.4790","103.3800"
"2011/09/29","106.0400","119292.0000","107.0600","107.4590","104.1600"
"2011/09/28","105.2800","197265.0000","107.7000","108.2400","105.0720"
"2011/09/27","107.4200","617509.0000","108.4400","109.2800","106.8598"
"2011/09/26","106.2000","193814.0000","104.7200","106.3460","103.3200"
"2011/09/23","103.6800","329172.0000","102.6000","104.3200","102.4600"
"2011/09/22","103.7800","420498.0000","104.2000","105.0000","102.3800"
"2011/09/21","107.1400","138976.0000","110.6000","110.8600","107.1400"
"2011/09/20","110.4800","154505.0000","111.1200","112.1400","110.4360"
"2011/09/19","110.6600","82121.0000","109.8600","111.1000","109.1800"
"2011/09/16","111.7000","78976.0000","111.4400","112.0560","110.7000"
"2011/09/15","111.0400","128670.0000","110.3400","111.1000","109.4200"
"2011/09/14","109.1600","458955.0000","108.2600","110.4600","106.7600"
"2011/09/13","107.6400","193478.0000","107.1000","108.0600","106.3800"
"2011/09/12","106.7598","161303.0000","104.7000","106.7600","104.3610"
"2011/09/09","106.0000","174200.0000","107.6600","107.9400","105.4400"
"2011/09/08","108.8600","115644.0000","109.3400","110.5800","108.6800"
"2011/09/07","110.0200","199687.0000","108.7200","110.0410","108.3000"
"2011/09/06","107.0000","197906.0000","104.7200","107.1400","104.6400"
"2011/09/02","107.7400","150333.0000","108.3200","108.8400","107.4000"
"2011/09/01","110.6000","274896.0000","111.7400","112.8000","110.5400"
"2011/08/31","111.6800","214935.0000","111.9800","112.9060","110.9200"
"2011/08/30","111.1200","129900.0000","110.5000","111.9200","109.6600"
"2011/08/29","110.9200","158953.0000","109.3400","110.9600","109.2400"
"2011/08/26","107.7800","197473.0000","105.6600","108.2800","104.0200"
"2011/08/25","106.3800","294151.0000","108.7200","109.1800","105.6200"
"2011/08/24","108.0000","150989.0000","106.3200","108.0800","106.0600"
"2011/08/23","106.5400","301934.0000","103.5200","106.5800","103.0000"
"2011/08/22","102.9800","246398.0000","105.3200","105.3800","102.7800"
"2011/08/19","102.9000","1438367.0000","103.3600","105.8200","102.8400"
"2011/08/18","104.9000","523981.0000","106.5800","106.7000","103.7400"
